Date/Time,Counts
05/Jun/23 09:26:58,28
05/Jun/23 09:27:58,19
05/Jun/23 09:28:58,20
05/Jun/23 09:29:58,22
05/Jun/23 09:30:58,18
05/Jun/23 09:31:58,15
05/Jun/23 09:32:58,21
05/Jun/23 09:33:58,20
05/Jun/23 09:34:58,21
05/Jun/23 09:35:58,16
05/Jun/23 09:36:58,14
05/Jun/23 09:37:58,20
05/Jun/23 09:38:58,20
05/Jun/23 09:39:58,11
05/Jun/23 09:40:58,26
05/Jun/23 09:41:58,20
05/Jun/23 09:42:58,18
05/Jun/23 09:43:58,19
05/Jun/23 09:44:58,15
05/Jun/23 09:45:58,25
05/Jun/23 09:46:58,17
05/Jun/23 09:47:58,11
05/Jun/23 09:48:58,14
05/Jun/23 09:49:58,20
05/Jun/23 09:50:58,23
05/Jun/23 09:51:58,14
05/Jun/23 09:52:58,27
05/Jun/23 09:53:58,20
05/Jun/23 09:54:58,18
05/Jun/23 09:55:58,24
05/Jun/23 09:56:58,15
05/Jun/23 09:57:58,18
05/Jun/23 09:58:58,30
05/Jun/23 09:59:58,17
05/Jun/23 10:00:58,24
05/Jun/23 10:01:58,16
05/Jun/23 10:02:58,21
05/Jun/23 10:03:58,20
05/Jun/23 10:04:58,19
05/Jun/23 10:05:58,21
05/Jun/23 10:06:58,21
05/Jun/23 10:07:58,24
05/Jun/23 10:08:58,18
05/Jun/23 10:09:58,15
05/Jun/23 10:10:58,17
05/Jun/23 10:11:58,18
05/Jun/23 10:12:58,29
05/Jun/23 10:13:58,21
05/Jun/23 10:14:58,27
05/Jun/23 10:15:58,24
05/Jun/23 10:16:58,17
05/Jun/23 10:17:58,22
05/Jun/23 10:18:58,26
05/Jun/23 10:19:58,15
05/Jun/23 10:20:58,19
05/Jun/23 10:21:58,20
05/Jun/23 10:22:58,23
05/Jun/23 10:23:58,12
05/Jun/23 10:26:41,15
05/Jun/23 10:27:43,18
05/Jun/23 10:28:43,27
05/Jun/23 10:29:43,20
05/Jun/23 10:30:43,22
