FRED-MOX1,Counts
05/Jun/23 09:26:58,28
05/Jun/23 09:27:58,19
05/Jun/23 09:28:58,20
05/Jun/23 09:29:58,22
05/Jun/23 09:30:58,18
05/Jun/23 09:31:58,15
05/Jun/23 09:32:58,21
05/Jun/23 09:33:58,20
05/Jun/23 09:34:58,21
05/Jun/23 09:35:58,16
05/Jun/23 09:36:58,14
05/Jun/23 09:37:58,20
05/Jun/23 09:38:58,20
05/Jun/23 09:39:58,11
05/Jun/23 09:40:58,26
05/Jun/23 09:41:58,20
05/Jun/23 09:42:58,18
05/Jun/23 09:43:58,19
05/Jun/23 09:44:58,15
05/Jun/23 09:45:58,25
05/Jun/23 09:46:58,17
05/Jun/23 09:47:58,11
05/Jun/23 09:48:58,14
05/Jun/23 09:49:58,20
05/Jun/23 09:50:58,23
05/Jun/23 09:51:58,14
05/Jun/23 09:52:58,27
05/Jun/23 09:53:58,20
05/Jun/23 09:54:58,18
05/Jun/23 09:55:58,24
05/Jun/23 09:56:58,15
05/Jun/23 09:57:58,18
05/Jun/23 09:58:58,30
05/Jun/23 09:59:58,17
05/Jun/23 10:00:58,24
05/Jun/23 10:01:58,16
05/Jun/23 10:02:58,21
05/Jun/23 10:03:58,20
05/Jun/23 10:04:58,19
05/Jun/23 10:05:58,21
05/Jun/23 10:06:58,21
05/Jun/23 10:07:58,24
05/Jun/23 10:08:58,18
05/Jun/23 10:09:58,15
05/Jun/23 10:10:58,17
05/Jun/23 10:11:58,18
05/Jun/23 10:12:58,29
05/Jun/23 10:13:58,21
05/Jun/23 10:14:58,27
05/Jun/23 10:15:58,24
05/Jun/23 10:16:58,17
05/Jun/23 10:17:58,22
05/Jun/23 10:18:58,26
05/Jun/23 10:19:58,15
05/Jun/23 10:20:58,19
05/Jun/23 10:21:58,20
05/Jun/23 10:22:58,23
05/Jun/23 10:23:58,12
05/Jun/23 10:26:41,15
05/Jun/23 10:27:43,18
05/Jun/23 10:28:43,27
05/Jun/23 10:29:43,20
05/Jun/23 10:30:43,22
05/Jun/23 10:31:43,17
05/Jun/23 10:32:43,12
05/Jun/23 10:33:43,18
05/Jun/23 10:36:37,21
05/Jun/23 10:37:37,25
05/Jun/23 10:38:37,20
05/Jun/23 10:39:37,22
05/Jun/23 10:40:37,8
05/Jun/23 10:41:37,24
05/Jun/23 10:42:37,18
05/Jun/23 10:43:37,23
05/Jun/23 10:44:37,12
05/Jun/23 10:45:37,26
05/Jun/23 10:46:37,22
05/Jun/23 10:47:37,28
05/Jun/23 10:48:37,16
05/Jun/23 10:49:37,13
05/Jun/23 10:50:37,19
05/Jun/23 10:51:37,25
05/Jun/23 10:52:37,16
05/Jun/23 10:53:37,25
05/Jun/23 10:54:37,18
05/Jun/23 10:55:37,26
05/Jun/23 10:56:37,25
05/Jun/23 10:57:37,19
05/Jun/23 10:58:37,25
05/Jun/23 10:59:37,16
05/Jun/23 11:00:37,20
05/Jun/23 11:01:37,20
05/Jun/23 11:02:37,25
05/Jun/23 11:03:37,20
05/Jun/23 11:04:37,14
05/Jun/23 11:05:37,24
05/Jun/23 11:06:37,27
05/Jun/23 11:07:37,27
05/Jun/23 11:08:37,19
05/Jun/23 11:09:37,20
05/Jun/23 11:10:37,17
05/Jun/23 11:11:37,16
05/Jun/23 11:12:37,21
05/Jun/23 11:13:37,20
05/Jun/23 11:14:37,18
05/Jun/23 11:15:37,19
05/Jun/23 11:16:37,32
05/Jun/23 11:17:37,16
05/Jun/23 11:18:37,18
05/Jun/23 11:19:37,17
05/Jun/23 11:20:37,18
05/Jun/23 11:21:37,16
05/Jun/23 11:22:37,20
05/Jun/23 11:23:37,25
05/Jun/23 11:24:37,23
05/Jun/23 11:25:37,21
05/Jun/23 11:27:45,20
05/Jun/23 11:28:45,19
05/Jun/23 11:29:45,17
05/Jun/23 11:30:45,25
05/Jun/23 11:31:45,23
05/Jun/23 11:32:45,20
05/Jun/23 11:33:45,16
05/Jun/23 11:34:45,16
05/Jun/23 11:35:45,24
05/Jun/23 11:36:45,20
05/Jun/23 11:37:45,28
05/Jun/23 11:38:45,27
05/Jun/23 11:39:45,14
05/Jun/23 11:40:45,11
05/Jun/23 11:41:45,19
05/Jun/23 11:42:45,17
05/Jun/23 11:43:45,19
05/Jun/23 11:44:45,22
05/Jun/23 11:45:45,24
05/Jun/23 11:46:45,17
05/Jun/23 11:47:45,25
05/Jun/23 11:48:45,25
05/Jun/23 11:49:45,26
05/Jun/23 11:50:45,21
05/Jun/23 11:51:45,27
05/Jun/23 11:52:45,17
05/Jun/23 11:53:45,21
05/Jun/23 11:54:45,16
05/Jun/23 11:55:45,24
05/Jun/23 11:56:45,24
05/Jun/23 11:57:45,25
05/Jun/23 11:58:45,14
05/Jun/23 11:59:45,23
05/Jun/23 12:00:45,25
05/Jun/23 12:01:45,22
05/Jun/23 12:02:45,23
05/Jun/23 12:03:45,19
05/Jun/23 12:04:45,22
05/Jun/23 12:05:45,19
05/Jun/23 12:06:45,18
05/Jun/23 12:07:45,17
05/Jun/23 12:08:45,28
05/Jun/23 12:09:45,18
05/Jun/23 12:10:45,31
05/Jun/23 12:11:45,21
05/Jun/23 12:12:45,19
05/Jun/23 12:13:45,9
05/Jun/23 12:14:45,29
05/Jun/23 12:15:45,28
05/Jun/23 12:16:45,22
05/Jun/23 12:17:45,21
05/Jun/23 12:18:45,24
05/Jun/23 12:19:45,23
05/Jun/23 12:20:45,21
05/Jun/23 12:21:45,24
05/Jun/23 12:22:45,21
05/Jun/23 12:23:45,22
05/Jun/23 12:24:45,16
05/Jun/23 12:25:45,19
05/Jun/23 12:27:52,19
05/Jun/23 12:28:52,15
05/Jun/23 12:29:52,23
05/Jun/23 12:30:52,21
05/Jun/23 12:31:52,21
05/Jun/23 12:32:52,31
05/Jun/23 12:33:52,18
05/Jun/23 12:34:52,21
05/Jun/23 12:35:52,25
05/Jun/23 12:36:52,17
05/Jun/23 12:37:52,17
05/Jun/23 12:38:52,26
05/Jun/23 12:39:52,18
05/Jun/23 12:40:52,23
05/Jun/23 12:41:52,22
05/Jun/23 12:42:52,18
05/Jun/23 12:43:52,23
05/Jun/23 12:44:52,24
05/Jun/23 12:45:52,19
05/Jun/23 12:46:52,21
05/Jun/23 12:47:52,23
05/Jun/23 12:48:52,21
05/Jun/23 12:49:52,19
05/Jun/23 12:50:52,25
05/Jun/23 12:51:52,30
